file_import_id,import_run_id,file_id,import_status,region_code,raw_data_instance,historical_diffs_active,raw_rows,net_new_or_updated_rows,deleted_rows
1,1,90731,FAILED_UNKNOWN,US_CO,PRIMARY,False,,,
2,1,90731,FAILED_UNKNOWN,US_CO,PRIMARY,False,,,
3,1,90731,SUCCEEDED,US_CO,PRIMARY,False,1,,
4,1,90743,FAILED_UNKNOWN,US_CO,PRIMARY,False,,,
6,2,140002,STARTED,US_AZ,PRIMARY,False,,,
7,2,140003,STARTED,US_AZ,PRIMARY,False,,,
8,2,140004,STARTED,US_AZ,PRIMARY,False,,,
9,2,140005,STARTED,US_AZ,PRIMARY,False,,,
10,2,140006,STARTED,US_AZ,PRIMARY,False,,,
11,2,140007,STARTED,US_AZ,PRIMARY,False,,,
12,2,140008,STARTED,US_AZ,PRIMARY,False,,,
13,2,140009,STARTED,US_AZ,PRIMARY,False,,,
16,3,140002,SUCCEEDED,US_AR,PRIMARY,False,10,,
17,3,140003,SUCCEEDED,US_AR,PRIMARY,False,10,,
18,3,140004,SUCCEEDED,US_AR,PRIMARY,False,10,,
19,3,140005,SUCCEEDED,US_AR,PRIMARY,False,10,,
20,3,140006,SUCCEEDED,US_AR,PRIMARY,False,10,,
21,3,140007,SUCCEEDED,US_AR,PRIMARY,False,10,,
22,3,140008,SUCCEEDED,US_AR,PRIMARY,False,10,,
23,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
24,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
25,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
26,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
27,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
28,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
29,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
30,3,140009,SUCCEEDED,US_AR,PRIMARY,False,10,,
