watermark_id,region_code,job_id,raw_data_file_tag,watermark_datetime
1234,US_CA,2023-10-03_06_24_02-9874644866363239238,test_file1,2023-10-01T10:00:00.000000+00
1235,US_CA,2023-10-03_06_24_02-9874644866363239238,test_file2,2023-10-02T20:00:00.000000+00
1236,US_CA,2023-10-03_06_24_02-9874644866363239238,test_file3,2023-10-02T19:05:00.000000+00
1237,US_CA,2023-10-03_06_24_02-9874644866363239238,test_file4,2023-10-02T19:05:00.000000+00
1238,US_CA,2023-10-03_06_24_02-9874644866363239238,test_file5,2023-10-01T13:00:00.000000+00
1239,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file1,2023-10-05T06:56:00.000000+00
1240,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file2,2023-10-05T20:10:00.000000+00
1241,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file3,2023-10-05T23:05:00.000000+00
1242,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file4,2023-10-06T02:00:00.000000+00
1243,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file5,2023-10-05T22:00:00.000000+00
1244,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file6,2023-10-04T12:34:00.000000+00
1245,US_CA,2023-10-06_06_24_02-9874644866363239238,test_file7,2023-10-03T00:01:30.000000+00
